first,label,label.1
second, ,normalized text
0,"Liberté, égalité, fraternité.","Liberté , égalité , fraternité ."
1,Je t'aime.,Je t'aime .
2,Voudriez-vous supprimer cette photo?,Voudriez-vous supprimer cette photo ?
3,Voudriez-vous ajouter un nouvel album?,Voudriez-vous ajouter un nouvel album ?
4,"Oui, je peux vous aider avec cela.","Oui , je peux vous aider avec cela ."
5,Suivez les instructions suivantes s'il vous plaît.,Suivez les instructions suivantes s'il vous plaît .
6,Comment puis-je vous aider?,Comment puis-je vous aider ?
7,C'est fait.,C'est fait .
8,Le langage de cet allophone est anglais. Voudriez-vous le changer?,Le langage de cet allophone est anglais . Voudriez-vous le changer ?
9,Les paramètres choisis ont été sauvegardés.,Les paramètres choisis ont été sauvegardés .
10,Voudriez-vous continuez?,Voudriez-vous continuez ?
11,Voudriez-vous activer le mode avion?,Voudriez-vous activer le mode avion ?
12,On a trouvé les centres de service les plus proches de vous.,On a trouvé les centres de service les plus proches de vous .
13,Procédez à la verification s'il vous plaît.,Procédez à la verification s'il vous plaît .
14,Vous pouvez également accéder aux dernières informations de service.,Vous pouvez également accéder aux dernières informations de service .
15,Voici un manuel d'utilisateur:,Voici un manuel d'utilisateur :
16,On appelle André...,On appelle André .
17,"Désolée, je ne vous comprends pas.","Désolée , je ne vous comprends pas ."
18,"Désolée, je n'ai pas pu trouver cette application.","Désolée , je n'ai pas pu trouver cette application ."
19,"Désolée, vous n'avez pas d'applications bancaires.","Désolée , vous n'avez pas d'applications bancaires ."
20,Baïdu est une entreprise technologique multinationale qui specialize en services et produits liés à l'Internet et l'intelligence artificielle.,Baïdu est une entreprise technologique multinationale qui specialize en services et produits liés à l'Internet et l'intelligence artificielle .
21,Vous avez 456 photos et 61 vidéos.,Vous avez quatre cent cinquante-six photos et soixante-et-un vidéos .
22,Voici toutes les photos faites par NASA.,Voici toutes les photos faites par nasa .
23,Votre alarme est réglée à 6h.,Votre alarme est réglée à six heures .
26,Le Wi-Fi est activé...,Le Wi-Fi est activé .
28,Aucun service WiFi n'est pris en charge.,Aucun service WiFi n'est pris en charge .
29,"Aujourd'hui on est juillet 26, 2019.","Aujourd'hui on est juillet vingt-six , deux mille dix-neuf ."
30,Voudriez-vous envoyer un message via WeChat?,Voudriez-vous envoyer un message via Wi Chatte ?
31,"OK, voici toutes les photos que vous avez prises aujourd'hui.","o kah , voici toutes les photos que vous avez prises aujourd'hui ."
32,Le numéro de la ligne est +33 01 564 78 89 97.,Le numéro de la ligne est plusse trente-trois zéro un cinq cent soixante-quatre soixante-dix-huit quatre-vingt-neuf quatre-vingt-dix-sept .
35,"De Wikipédia, L'encyclopédie libre que chacun peut améliorer.","De Wikipédia , L'encyclopédie libre que chacun peut améliorer ."
36,On développe un système de synthèse vocale.,On développe un système de synthèse vocale .
38,Je vais bien. Et vous?,Je vais bien . Et vous ?
39,Aujourd'hui on est mercredi.,Aujourd'hui on est mercredi .
40,Présentez-vous s'il vous plaît.,Présentez-vous s'il vous plaît .
41,Je préfère ne pas en parler.,Je préfère ne pas en parler .
42,Jette-le. Jette-le!,Jette-le . Jette-le !
44,La compagnie a été fondée en 1987 par Ren Zhengfei.,La compagnie a été fondée en mille neuf cent quatre-vingt-sept par Renne Génfé .
47,"Voici les langues prises en charge: anglais, russe, chinois, hindi, arabe, hebreu et allemand.","Voici les langues prises en charge : anglais , russe , chinois , hindi , arabe , hebreu et allemand ."
48,"Entrez votre ID, s'il vous plaît.","Entrez votre i dé , s'il vous plaît ."
51,"La valeur maximale pour la semaine (de 27 juin à 4 juillet) est de 62,7878 roubles par dollar.",La valeur maximale pour la semaine (de vingt-sept juin à quatre juillet ) est de soixante-deux virgule sept huit sept huit roubles par dollar .
53,"Désolée, il est impossible de passer ""Candy Shop"" par 50 Cent ft. Olivia. Vous n'avez pas de connexion Internet.","Désolée , il est impossible de passer ""Candy Shop"" par cinquante Cent ft . Olivia . Vous n'avez pas de connexion Internet ."
54,Voudriez-vous diagnostiquer votre appareil?,Voudriez-vous diagnostiquer votre appareil ?
55,La mise à jour de votre appareil va commencer dans 2h30min.,La mise à jour de votre appareil va commencer dans deux heures trente minutes .
56,Vouz avez envoyé ce mail le 10/06/18.,Vouz avez envoyé ce mail le dix juin deux mille dix-huit .
57,La dernière mise à jour a eu lieu le 07.12.19.,La dernière mise à jour a eu lieu le sept décembre deux mille dix-neuf .
58,"Sylvester  Stalloné (né Michael Sylvester Gardenzio Stalloné, le 6 juillet, 1946) est un acteur américain, réalisateur, scénariste et producteur.","Sylvester Stalloné (né Michael Sylvester Gardenzio Stalloné , le six juillet , mille neuf cent quarante-six ) est un acteur américain , réalisateur , scénariste et producteur ."
65,Qu'est-ce que vous voulez savoir?,Qu'est-ce que vous voulez savoir ?
67,Les spécifications de l'appareil peuvent être différentes selon votre modèle.,Les spécifications de l'appareil peuvent être différentes selon votre modèle .
80,"1 kg 2,5 cm 89 mph, 471C, 25 m","un kilogramme deux virgule cinq centimètres quatre-vingt-neuf milles par heure , quatre cent soixante-et-onze degrés Celsius , vingt-cinq mètres"
87,5,cinq
90,TT.com,té té point com
91,#Baïblisse,hache-tague Baïblisse
92,1h30,une heure trente
93,30/05/2009,trente mai deux mille neuf
102,04h 05min 06s,quatre heures cinq minutes six secondes
103,18h30 am 18h30,dix-huit heures trente amiral dix-huit heures trente
114,200GB,deux cents gigabytes
118,mon.mail@orange.com,mon point mail arobase orange point com
120,Dr Lebon et Mme Blanche,Docteur Lebon et Madame Blanche
121,"OK Google, envoie-moi un jpg via le wi-fi","o kah gougoel , envoie-moi un gépègue via le wi-fi"
122,"99,99",quatre-vingt-dix-neuf virgule neuf neuf
123,"0,9",zéro virgule neuf
124,"9,0",neuf virgule zéro
129,1ère place,première place
130,1200 ap. J.-C. .,mille deux cents après Jésus Christ .
139,aaa|bbb,aaa bbb
149,Vous avez 400 photos et 62 vidéos.,Vous avez quatre cents photos et soixante-deux vidéos .
150,Vous avez 480 photos et 72 vidéos.,Vous avez quatre cent quatre-vingts photos et soixante-douze vidéos .
152,900.000.000,neuf cents millions
153,a,a
154,900.000,neuf cent mille
155,18:30 am 18:30,dix-huit heures trente minutes amiral dix-huit heures trente minutes
156,04 h 05 min 06 s,quatre heures cinq minutes six secondes
157,18h30min,dix-huit heures trente minutes
158,15 h 47 min,quinze heures quarente-cinq minutes
159,19h31min,dix-neuf heures trente-et-une minutes
160,11h,onze heures
161,11 h,onze heures
162,0 h 20,minuit vingt
163,0h20,minuit vingt
