first,label,label
second, ,normalized text
1,Sono nato 29/02/2016.,Sono nato il ventinove febbraio duemilasedici.
2,20 €,venti euro
3,ecc.,eccetera
4,youtube.com,yutub punto com
5,UE,Unione Europea
6,235,duecentotrentacinque
7,456 foto e 63 video,quattrocentocinquantasei foto e sessantatré video
8,Il suo numero è 39 50 186 16 12.,il suo numero è trentanove cinque zero uno otto sei sedici dodici.
9,alle 10:45,alle dieci e quarantacinque
10,alle 9:15,alle nove e quindici
11,ad es.,ad esempio
12,"Sig. Martini, Sig.ra Loche e Sig.na Libera","Signore Martini, Signora Loche e Signorina Libera"
13,Prof. Trentino e Prof.ssa Garda,Professore Trentino e Professoressa Garda
14,1978,millenovecentosettantotto
15,soc.,società
16,Il treno parte alle 8:30.,Il treno parte alle otto e trenta.
17,"Apri il libro alla pag. 21, poi torna alla pg. 20.","Apri il libro alla pagina ventuno, poi torna alla pagina venti."
18,100 km/h,cento chilometri all'ora
19,01.09.2014,il primo settembre duemilaquattordici
20,gli USA,gli Stati Uniti d'America
21,64 a. C.,sessantaquattro avanti Cristo
22,35 d. C.,trentacinque dopo Cristo
23,Chi è connesso alla vostra rete wifi?,Chi è connesso alla vostra rete wifi?
24,Utilizzo una VPN.,Utilizzo una vi pi enne.
25,"Questo libro costa 2,59€.","Questo libro costa due euro, cinquantanove centesimi."
26,I prezzi sono aumentati del 50% negli ultimi 2 anni,I prezzi sono aumentati del cinquanta per cento negli ultimi due anni
27,Ha fatto un test del DNA,Ha fatto un test del di enne a
28,Era attivo a Roma nel XVIII secolo.,Era attivo a Roma nel diciottesimo secolo.
29,WhatsApp può arrivare ad occupare diversi GB di spazio.,WhatsApp può arrivare ad occupare diversi gigabait di spazio.
30,Vogliamo presentarvi il nuovo sistema TTS di Huawei. È stato sviluppato dal R&D team di SPb nel giugno del 2019,Vogliamo presentarvi il nuovo sistema ti ti esse di Huawei. È stato sviluppato dal erre e di tiim di San Pietroburgo nel giugno del duemiladiciannove
31,http://10.199.125.114/,acca ti ti pi due punti slesh slesh dieci punto centonovantanove punto centoventicinque punto centoquattordici slesh
32,Sono cresciuti di 2 cm nel frattempo.,Sono cresciuti di due centimetri nel frattempo.
33,Il limite della velocità è 25 mph.,Il limite della velocità è venticinque miglia all'ora.
34,Da martedì le medie termiche sono state tra i 18 e i 20°C.,Da martedì le medie termiche sono state tra i diciotto e i venti gradi cèèèlsius.
35,TT.com,ti ti punto com
36,#italia,hashtag italia
37,4:05:08,le quattro ore cinque minuti otto secondi
38,04h 05m 08s,le quattro ore cinque minuti otto secondi
39,P.za dei Re,Piazza dei Re
40,il 15 febbraio 2009,il quindici febbraio duemilanove
41,Qual è il suo CAP?,Qual è il suo ci a pi?
42,2 + 2 = 4,due più due è uguale a quattro
43,Questo è un luogo recentemente designato Patrimorio dell'Umanità dall'UNESCO.,Questo è un luogo recentemente designato Patrimorio dell'Umanità dall'Unesco.
44,cambio da USD a GBP,cambio da u esse di a gi bi pi
45,qlc,qualcuno
46,qls,qualcosa
47,"Chiara, tvb.","Chiara, ti voglio bene."
48,«Con calma» di Daddy Yankee ft. Snow,""Con calma" di Daddy Yankee con Snow"
49,S.T.A.L.K.E.R.,esse ti a elle kappa e erre
50,10K€,diecimila euro
51,23°C,ventitré gradi cèèèlsius
52,"0,3","zero virgola tre"
53,"634500,3","seicentotrentaquattromilacinquecento virgola tre"
54,35 ml,trentacinque millilitri
55,8 l di latte,otto litri di latte
56,500 gr,cinquecento grammi
57,www.google.com,vu vu vu punto google punto com
58,Dott. Abbagnale,Dottore Abbagnale
59,la 4ª persona,la quarta persona
60,Si aggiunge 1 ml di succo di limone e poi ancora 3 ml.,Si aggiunge un millilitro di succo di limone e poi ancora tre millilitri.
61,Ci metti 1 gr di sale e 25 gr di farina.,Ci metti un grammo di sale e venticinque grammi di farina.
62,Devo comprare ancora 1 l di acqua e 2 l di latte.,Devo comprare ancora un litro di acqua e due litri di latte.
63,634500,seicentotrentaquattromilacinquecento
64,1 studente,uno studente
65,"Libertà, uguaglianza, fraternità.","Libertà, uguaglianza, fraternità."
66,I 4 gatti.,I quattro gatti.
67,La lingua di questo telefono è l'italiano. Vuole cambiarla?,La lingua di questo telefono è l'italiano. Vuole cambiarla?
68,Le impostazioni sono state salvate.,Le impostazioni sono state salvate.
69,Vuole continuare?,Vuole continuare?
70,Chiamata in arrivo.,Chiamata in arrivo.
71,Hai 456 foto e 12 video.,Hai quattrocentocinquantasei foto e dodici video.
72,"Queste foto sono state scattate a Londra, UK.","Queste foto sono state scattate a Londra, Regno Unito."
73,Sveglia impostata per 8:15.,Sveglia impostata per le otto e quindici.
74,Sveglia impostata per 19:47.,Sveglia impostata per le diciannove e quarantasette.
75,Attivazione VPN.,Attivazione vi pi enne.
76,"La cartella ""Social Media"" contiene 3 applicazioni: Facebook, Vkontakte e Twitter.","La cartella ""soscial Media"" contiene tre applicazioni: feisbuc, vi contactee e Twitter."
77,Oggi è il 21 febbraio 2020.,Oggi è il ventuno febbraio duemilaventi.
78,Vuoi inviare il messaggio via WeChat?,Vuoi inviare il messaggio via viciat?
79,"OK, ecco le foto che hai scattato oggi.","okey, ecco le foto che hai scattato oggi."
80,Il numero della linea diretta è +7 930 011 33 55.,Il numero della linea diretta è più sette nove tre zero zero uno uno tre tre cinque cinque.
81,La sostituzione dello schermo costa 25€.,La sostituzione dello schermo costa venticinque euro.
82,Il livello batteria è 12%. Per favore ricarica il telefono.,Il livello batteria è dodici per cento. Per favore ricarica il telefono.
83,Stiamo sviluppando un sistema text-to-speech.,Stiamo sviluppando un sistema text-to-speech.
84,Buttalo. Buttalo!,Buttalo. Buttalo!
85,La compagnia è stata fondata nel 1987 da Ren Zhengfei.,La compagnia è stata fondata nel millenovecentottantasette da Ren Zhengfei.
86,La popolazione di Nanjing è 8.270.500 abitanti.,La popolazione di Nanjing è otto milioni e duecentosettantamilacinquecento abitanti.
87,La popolazione di Nanjing è 8270500 abitanti.,La popolazione di Nanjing è otto milioni e duecentosettantamilacinquecento abitanti.
88,Inserisci il tuo ID.,Inserisci il tuo ai di.
89,Lettura codice QR in corso.,Lettura codice cu erre in corso.
90,"Sono in grado di riprodurre """All For Us""" di Labrinth ft. Zendaya.","Sono in grado di riprodurre """All For Us""" di Labrinth con Zendaya."
91,L'aggiornamento del telefono inizierà tra 08h 08m.,L'aggiornamento del telefono inizierà tra otto ore e otto minuti.
92,Hai mandato questa e-mail l'08/10/19.,Hai mandato questa e-mail l'otto ottobre duemiladiciannove.
93,Hai mandato questa e-mail il 01/10/19.,Hai mandato questa e-mail il primo ottobre duemiladiciannove.
94,Hai mandato questa e-mail il 01.10.19.,Hai mandato questa e-mail il primo ottobre duemiladiciannove.
95,"Sylvester Enzio Stallone, soprannominato Sly (New York, il 6 luglio 1946), è un attore.","Sylvester Enzio Stallone, soprannominato Sly (niu iorch, il sei luglio millenovecentoquarantasei), è un attore."
96,"Scusa, non c'è il nome 'Dr. Dre'.","Scusa, non c'è il nome 'Dottore Dre'."
97,Hai un appuntamento alle 5:30.,Hai un appuntamento alle cinque e trenta.
98,Vuoi aprire www.bbc.com?,Vuoi aprire vu vu vu punto bi bi ci punto com?
99,Le specificazioni del device possono variare a seconda del modello del tuo telefono.,Le specificazioni del device possono variare a seconda del modello del tuo telefono.
100,Per configurare le impostazioni di Dual SIM visita Impostazioni > Connessioni > Gestione schede SIM.,Per configurare le impostazioni di Dual sim visita Impostazioni Connessioni Gestione schede sim.
101,"Se il SuperCharge non funziona con il tuo caricabatterie HUAWEI, assicurati che non è danneggiato.","Se il SuperCharge non funziona con il tuo caricabatterie huawei, assicurati che non è danneggiato."
102,Puoi trasferire tutti i tuoi messaggi e applicazioni a una velocità fino a 1 GB per minuto.,Puoi trasferire tutti i tuoi messaggi e applicazioni a una velocità fino a un gigabait per minuto.
103,"Il tuo saldo è 891,13 euro.","il tuo saldo è ottocentonovantuno euro, tredici centesimi."
104,Hai 3 nuovi messaggi da helena@yahoo.com.,Hai tre nuovi messaggi da helena chiocciola yahoo punto com.
105,"Ottaviano Augusto (Roma, 63 a.C. – Nola, 14), il primo imperatore romano.","Ottaviano Augusto (Roma, sessantatré avanti Cristo - Nola, quattordici), il primo imperatore romano."
106,1 kg 24 cm 11°C,un chilogrammo ventiquattro centimetri undici gradi cèèèlsius
107,2 GB,due gigabait
108,I-71,i settantuno
109,LVII,cinquantasettesimo
110,broadway.cas.sc.eduMeyer,broadway punto ci a esse punto esse ci punto eduMeyer
111,il 9 dic.,il nove dicembre
112,13:02,le tredici e due
113,il 2003-01-02,il due gennaio duemilatré
114,https://www.google.ru/search?69i57j,acca ti ti pi esse due punti slesh slesh vu vu vu punto google punto ru
115,mia.mail@huawei.com,mia punto mail chiocciola huawei punto com
116,$20,venti dòòllari statunitesi
117,H2O,acca due o
118,il 1 posto,il primo posto
119,Nel 2018 abbiamo ottenuto 2018 punti,Nel duemiladiciotto abbiamo ottenuto duemiladiciotto punti
120,02.29.2005 non esiste,zero due ventinove duemilacinque non esiste
121,00:00:00,le zero ore zero minuti zero secondi
122,00:00:01,le zero ore zero minuti uno secondo
123,00:01:00,le zero ore uno minuto zero secondi
124,01:00:00,un'ora zero minuti zero secondi
125,aaa|bbb,aaa bbb
126,.789,punto settecentottantanove
127,Ivanow A. A. Ivanow Anthony J. Crowley,Ivanow a a Ivanow Anthony i lunga Crowley
128,"+7(000)231-22-22. 456,21.","più sette zero zero zero due tre uno due due due due. quattrocentocinquantasei virgola ventuno."
129,"$10.261.356,76","dieci milioni e duecentosessantunomilatrecentocinquantasei dòòllari statunitesi, settantasei centesimi"
130,"Michelangelo Buonarroti (Caprese, 6 marzo 1475 – Roma, 18 febbraio 1564) è stato uno scultore, pittore, architetto e poeta italiano.","Michelangelo Buonarroti (Caprese, il sei marzo millequattrocentosettantacinque - Roma, il diciotto febbraio millecinquecentosessantaquattro) è stato uno scultore, pittore, architetto e poeta italiano."
131,"La velocità della luce nel vuoto, per definizione, è pari a c = 299 792 458 m/s.","La velocità della luce nel vuoto, per definizione, è pari a ci è uguale a duecentonovantanove milioni e settecentonovantaduemilaquattrocentocinquantotto metri al secondo."
132,Nel 1983 la XVII Conferenza generale di pesi e misure definì il metro come la distanza percorsa dalla luce nel vuoto in 1/299 792 458 di secondo.,Nel millenovecentottantatré la diciassettesima Conferenza generale di pesi e misure definì il metro come la distanza percorsa dalla luce nel vuoto in un duecentonovantanove milioni e settecentonovantaduemilaquattrocentocinquantottesimo di secondo.
133,1/3,un terzo
134,"Apollo 11 fu la missione spaziale che portò i primi uomini sulla Luna, gli astronauti statunitensi Neil Armstrong e Buzz Aldrin, il 20 luglio 1969 alle 20:17:40 UTC","Apollo undici fu la missione spaziale che portò i primi uomini sulla Luna, gli astronauti statunitensi Neil Armstrong e Buzz Aldrin, il venti luglio millenovecentosessantanove alle venti ore diciassette minuti quaranta secondi il tempo coordinato universale"
135,"Il 4 ottobre 1957, quest'ultima lanciò lo Sputnik 1, il primo satellite artificiale.","Il quattro ottobre millenovecentocinquantasette, quest'ultima lanciò lo Sputnik uno, il primo satellite artificiale."
136,l'occasione del 40º anniversario dell'Apollo 11,l'occasione del quarantesimo anniversario dell'Apollo undici
137,il 21 luglio alle ore 02:56 UTC,il ventuno luglio alle ore due e cinquantasei il tempo coordinato universale
138,"Più tardi Luigi XIV fece trasferire il dipinto a Versailles, ma dopo la rivoluzione francese venne spostato al Louvre.","Più tardi Luigi quattordicesimo fece trasferire il dipinto a Versailles, ma dopo la rivoluzione francese venne spostato al Louvre."
139,griglie che vanno da 30x30 a 0x0,griglie che vanno da trenta per trenta a zero per zero
140,"Tuttavia, le forze e le energie necessarie per accelerare masse diverse dipendono strettamente dalle loro diverse masse inerziali, come si può vedere dalla seconda legge del moto di Newton, F = ma.","Tuttavia, le forze e le energie necessarie per accelerare masse diverse dipendono strettamente dalle loro diverse masse inerziali, come si può vedere dalla seconda legge del moto di Newton, effe è uguale a emme per a."
141,"Il campo ha unità di accelerazione in SI, questa è m/s^2.","Il campo ha unità di accelerazione in sistema internazionale di unità di misura, questa è metro al secondo quadrato."
142,catalogati come Abell-2218 e l'altro come Abell-1689,catalogati come Abell duemiladuecentodiciotto e l'altro come Abell milleseicentottantanove
143,"0,125 g di oro",zero virgola centoventicinque grammi di oro
144,230º papa della Chiesa cattolica,duecentotrentesimo papa della Chiesa cattolica
145,il 21 novembre: 18h al 27 dicembre 2015: dalle 9 alle Institute,il ventuno novembre: diciotto ore al ventisette dicembre duemilaquindici: dalle nove alle Institute
146,il termine fotone fu coniato a Parigi nel luglio 1926 dal fisico ottico Frithiof Wolfers,il termine fotone fu coniato a Parigi nel luglio millenovecentoventisei dal fisico ottico Frithiof Wolfers
147,Con 9 834 000 km² in totale e circa 330 milioni di abitanti gli Stati Uniti sono il terzo paese al mondo per superficie e il terzo per popolazione prima dell'Indonesia e dopo la Cina e l'India,Con nove milioni e ottocentotrentaquattromila chilometri quadrati in totale e circa trecentotrenta milioni di abitanti gli Stati Uniti sono il terzo paese al mondo per superficie e il terzo per popolazione prima dell'Indonesia e dopo la Cina e l'India
148,Io vorrei vivere negli EAU,Io vorrei vivere negli Emirati Arabi Uniti
149,14 m s.l.m.,quattordici metri sul livello del mare
150,27 m s.m.,ventisette metri sul mare
151,75 m s.l.m.m.,settantacinque metri sul livello marino medio
152,nel periodo tra il 1993 e il 2010 questo contributo è stato valutato dell'ordine del 30%,nel periodo tra il millenovecentonovantatré e il duemiladieci questo contributo è stato valutato dell'ordine del trenta per cento
153,Hai verificato il UTC,Hai verificato il tempo coordinato universale
154,Dovresti vedere il CET,Dovresti vedere il Tempo dell'Europa Centrale
155,47 ab./km²,quarantasette abitanti per chilometro quadrato
156,SI è abbastanza complicata,sistema internazionale di unità di misura è abbastanza complicata
157,Il sistema nacque nel 1889 in Francia con la 1ª CGPM,Il sistema nacque nel milleottocentottantanove in Francia con la prima ci gi pi emme
158,Sympetrum fonscolombii è una libellula della famiglia Libellulidae,Sympetrum fonscolombii è una libellula della famiglia Libellulidae
159,Le ghiandole di Bowman sono ghiandole tubulo-alveolari presenti nella lamina propria della mucosa olfattiva,Le ghiandole di Bowman sono ghiandole tubulo-alveolari presenti nella lamina propria della mucosa olfattiva
160,Il gruppo ha debuttato il 1º agosto 2014 con il singolo digitale Happiness,Il gruppo ha debuttato il primo agosto duemilaquattordici con il singolo digitale Happiness
161,Uno pseudonimo è un nome fittizio di persona,Uno pseudonimo è un nome fittizio di persona
162,Questo decisione del CIO non mi piace,Questo decisione del Comitato Olimpico Internazionale non mi piace
163,Galli Boi furono una popolazione celtica dell'Età del ferro originaria dell'Antica Gallia,Galli Boi furono una popolazione celtica dell'Età del ferro originaria dell'Antica Gallia
164,Il V secolo a.C. inizia nell'anno 500 a.C. e termina nell'anno 401 a.C. incluso,Il quinto secolo avanti Cristo inizia nell'anno cinquecento avanti Cristo e termina nell'anno quattrocentouno avanti Cristo incluso
165,Le lingue mon khmer formano assieme a quelle munda la famiglia linguistica austroasiatica,Le lingue mon khmer formano assieme a quelle munda la famiglia linguistica austroasiatica
166,Qual è l'ISU di questo paese?,Qual è l'Indice di sviluppo umano di questo paese?
167,Vorrei visitare l'ONU a NY,Vorrei visitare l'Organizzazione delle Nazioni Unite a New-York
168,Io aspetto questo a.a.,Io aspetto questo anno academico
169,Potrei dirvi il mio C.A.P.,Potrei dirvi il mio codice di avviamento postale
170,Questa macchina ha 250 di C.V.,Questa macchina ha duecentocinquanta di cavallo vapore
171,La macchina pesa 3000 Kg,La macchina pesa tremila chilogrammi
172,Questa macchina potrebbe andare alla velocità di 130 Km,Questa macchina potrebbe andare alla velocità di centotrenta chilometri
173,La macchina viaggiava a una velocità di 90 km/h,La macchina viaggiava a una velocità di novanta chilometri all'ora
174,La lunghezza del suo corpo è 3 m,La lunghezza del suo corpo è tre metri
175,È necessario assumere 10 mg al giorno,È necessario assumere dieci milligrammi al giorno
176,La lunghezza della trave è di 15 mm,La lunghezza della trave è di quindici millimetri
177,Il nostro indirizzo è Uff. 6,Il nostro indirizzo è ufficio sei
178,S/ Signore Medici,Suo Signore Medici
179,Il metodo di Golgi o impregnazione cromoargentica è una tecnica di microscopia ottica che permette la perfetta visualizzazione delle cellule del tessuto nervoso,Il metodo di Golgi o impregnazione cromoargentica è una tecnica di microscopia ottica che permette la perfetta visualizzazione delle cellule del tessuto nervoso
180,ca 280 km,circa duecentottanta chilometri
181,Ho già scritto il mio CV,Ho già scritto il mio curriculum vitae
182,Egr. Signore Medici,Egregio Signore Medici
183,Andate alla sg fermata,Andate alla seguente fermata
184,Arch. Domingo,Architetto Domingo
185,N.B. è molto importante,Nota Bene è molto importante
186,Andiamo alla pag.27,Andiamo alla pagina ventisette
187,La semeiotica è la disciplina che studia i sintomi e i segni clinici,La semeiotica è la disciplina che studia i sintomi e i segni clinici
188,L'anamnesi è il primo dei tre processi utilizzati nella fase analitica del processo diagnostico,L'anamnesi è il primo dei tre processi utilizzati nella fase analitica del processo diagnostico
189,Il greco bizantino o medievale è la variante di lingua greca diffusasi nel corso del Medioevo nell'Impero bizantino ed in seguito in altri paesi come oggetto di studio,Il greco bizantino o medievale è la variante di lingua greca diffusasi nel corso del Medioevo nell'Impero bizantino ed in seguito in altri paesi come oggetto di studio
190,Per Basso Medioevo si intende il periodo della storia europea e del bacino del Mediterraneo convenzionalmente compreso tra l'anno 1000 circa e la scoperta dell'America da parte degli Europei nel 1492,Per Basso Medioevo si intende il periodo della storia europea e del bacino del Mediterraneo convenzionalmente compreso tra l'anno mille circa e la scoperta dell'America da parte degli Europei nel millequattrocentonovantadue
191,Nella gerarchia cattolica il presbiterato è il secondo grado del sacramento dell'Ordine,Nella gerarchia cattolica il presbiterato è il secondo grado del sacramento dell'Ordine
192,Il Nuovo Testamento è la raccolta dei 27 libri canonici che costituiscono la seconda parte della Bibbia cristiana e che vennero scritti in seguito alla vita e alla predicazione di Gesù di Nazareth,Il Nuovo Testamento è la raccolta dei ventisette libri canonici che costituiscono la seconda parte della Bibbia cristiana e che vennero scritti in seguito alla vita e alla predicazione di Gesù di Nazareth
193,Il 51 è un anno del I secolo,Il cinquantuno è un anno del primo secolo
194,L'aerodinamica è la branca della fluidodinamica che studia la dinamica dei gas in particolare dell'aria e la loro interazione con corpi solidi,L'aerodinamica è la branca della fluidodinamica che studia la dinamica dei gas in particolare dell'aria e la loro interazione con corpi solidi
195,Nell'ambito dei fenomeni di trasporto la viscosità è una grandezza fisica che misura la resistenza di un fluido allo scorrimento,Nell'ambito dei fenomeni di trasporto la viscosità è una grandezza fisica che misura la resistenza di un fluido allo scorrimento
196,Lo zirconio è l'elemento chimico di numero atomico 40 e il suo simbolo è Zr,Lo zirconio è l'elemento chimico di numero atomico quaranta e il suo simbolo è zeta erre
197,La duttilità è una proprietà tecnologica della materia che indica la capacità di un corpo o di un materiale di deformarsi plasticamente sotto carico prima di giungere a rottura cioè la capacità di sopportare deformazioni plastiche,La duttilità è una proprietà tecnologica della materia che indica la capacità di un corpo o di un materiale di deformarsi plasticamente sotto carico prima di giungere a rottura cioè la capacità di sopportare deformazioni plastiche
198,Il sistema numerico binario è un sistema numerico posizionale in base 2,Il sistema numerico binario è un sistema numerico posizionale in base due
199,0+10=10,zero più dieci è uguale a dieci
200,Diffusione ottica o dispersione si intende un'ampia classe di fenomeni di interazione radiazione-materia in cui onde o particelle vengono deflesse (ovvero cambiano traiettoria) a causa della collisione con altre particelle o onde (dal punto di vista quantistico),Diffusione ottica o dispersione si intende un'ampia classe di fenomeni di interazione radiazione-materia in cui onde o particelle vengono deflesse (ovvero cambiano traiettoria) a causa della collisione con altre particelle o onde (dal punto di vista quantistico)
