first,label,label
second, ,normalized text
1,Tienes 456 fotos y 63 vídeos.,Tienes cuatrocientas cincuenta y seis fotos y sesenta y tres vídeos.
2,235,doscientos treinta y cinco
3,EE.UU.,Los Estados Unidos
4,Hoy es 16 de septiembre 2019. ,Hoy es dieciséis de septiembre dos mil diecinueve.
5,Su número es +34 50 186 16 12. ,Su número es más treinta y cuatro cincuenta ciento ochenta y seis dieciséis doce.
6,Empezará en 2h 20m. ,Empezará en dos horas veinte minutos.
7,Nació el 28 de marzo de 1986.,Nació el veintiocho de marzo del año mil novecientos ochenta y seis.
8,youtube.com,yutub punto com
9,Tienes un correo de pepe@correo.es.,Tienes un correo de pepe arroba correo punto es.
10,"0,9","cero punto nueve"
12,20€,veinte euros
13,25€,veinticinco euros
14,Sr. Delgado y Sra. Engo ,señor Delgado y señora Engo
15,¿Tienes wifi?,¿Tienes wifi?
16,"Él utiliza VPN para conectarse.","Él utiliza uve pe ene, para conectarse."
17,San Petersburgo fue capital de Rusia (1712).,San Petersburgo fue capital de Rusia (mil setecientos doce).
18,64 d. C. ,sesenta y cuatro después de Cristo
19,35 a. C. ,treinta y cinco antes de Cristo
21,",789 123,156 10,122","punto siete ocho nueve ciento veintitrés punto uno cinco seis diez punto uno dos dos"
22,"Este bolígrafo vale 2,50€.","Este bolígrafo vale dos euros, cincuenta céntimos."
23,Su salario es 2000 euros/mes.,Su salario es dos mil euros al mes.
24,Se ha descargado solamente 20% del programa.,Se ha descargado solamente veinte por ciento del programa.
25,"Estamos desarrollando el sistema TTS.","Estamos desarrollando el sistema te te ese."
26,"Entra su DNI.","Entra su de nei."
27,Mandaste este correo electrónico el 10.09.2019.,Mandaste este correo electrónico el diez de septiembre del año dos mil diecinueve.
28,Fue un escritor famoso del siglo XIX.,Fue un escritor famoso del siglo diecinueve.
29,"Perdona, no tienes contacto "Sra. Pérez".","Perdona, no tienes contacto "señora Pérez"."
31,Ayer me desperté a las 7:15.,Ayer me desperté a las siete horas quince minutos.
32,Su clase empieza a las 8:10.,Su clase empieza a las ocho horas diez minutos.
34,Este programa ocupa 3 GB.,Este programa ocupa tres gigabaits
35,"Nos complace presentarle el nuevo sistema TTS de Huawei.","Nos complace presentarle el nuevo sistema te te ese, de huágüei."
36,"Fue desarrollado en junio de 2019 por el departamento RD en San Petersburgo, Rusia.","Fue desarrollado en junio de dos mil diecinueve por el departamento erre de, en San Petersburgo, Rusia."
37,"http://10.199.125.114/","hache te te pe dos puntos barra barra diez punto ciento noventa y nueve punto ciento veinticinco punto ciento catorce barra,"
39,"La diferencia es de 2 cm.","La diferencia es de dos centímetros"
40,La velocidad máxima es 89 mph.,La velocidad máxima es ochenta y nueve millas por hora.
41,Se necesita calientarlo hasta 453°F.,Se necesita calientarlo hasta cuatrocientos cincuenta y tres grados Farenjait.
42,"M-37","eme, treinta y siete"
43,"3,0","tres punto cero"
44,"TT.com","te te, punto com"
45,#España,almohadilla España
46,04:05:08,cuatro horas cinco minutos ocho segundos
47,04h 05m 08s,cuatro horas cinco minutos ocho segundos
48,"SM U-58","ese eme, uh, cincuenta y ocho"
