first,label,label
second, ,normalized text
0,"Liberty, equality, fraternity.","Liberty , equality , fraternity ."
1,I love you.,I love you .
2,Would you like to delete this photo?,Would you like to delete this photo ?
3,Do you want to add a new album?,Do you want to add a new album ?
4,"Yes, I can help you with that.","Yes , I can help you with that ."
5,"Please, follow next instructions.","Please , follow next instructions ."
6,What can I help you with?,What can I help you with ?
7,Done.,Done .
8,The language of this phone is English. Would you like to change it?,The language of this phone is English . Would you like to change it ?
9,Your settings have been saved.,Your settings have been saved .
10,Do you want to continue?,Do you want to continue ?
11,Do you want to enable airplane mode?,Do you want to enable airplane mode ?
12,We found the nearest service centers for you.,We found the nearest service centers for you .
13,"Please, go through the verification.","Please , go through the verification ."
14,You also can check latest service information on the Recommended screen.,You also can check latest service information on the Recommended screen .
15,Here is user's manual:,Here is user's manual :
16,Calling Andrew...,Calling Andrew .
17,"Sorry, I can't understand you.","Sorry , I can't understand you ."
18,"Sorry, I couldn't find  this application.","Sorry , I couldn't find this application ."
19,"Sorry, you do not have banking applications.","Sorry , you do not have banking applications ."
20,Baidu is a Chinese multinational technology company specializing in Internet-related services and products and artificial intelligence.,Baidu is a Chinese multinational technology company specializing in Internet - related services and products and artificial intelligence .
21,You have 456 photos and 61 videos.,You have four hundred and fifty six photos and sixty one videos .
22,"Here are all the photos made in London, UK.","Here are all the photos made in London , yu kay ."
23,The alarm is set for 6:00 pm.,The alarm is set for six o'clock pe em .
24,The alarm is set for 18:00.,The alarm is set for eighteen o'clock .
25,Turning VPN on...,Turning ve pe en on .
26,Turning Wi-Fi on...,Turning why - figh on .
27,"""Social Media"" folder contains 3 applications: Facebook, Vkontakte and Twitter.","Social Media "" folder contains three applications : Facebook , v contactee and Twitter ."
28,There are no supported WiFi services.,There are no supported why - figh services .
29,"Today is June 26th, 2019.","Today is the twenty sixth of June twenty nineteen ."
30,Do you want sending message via WeChat?,Do you want sending message via we chat ?
31,"OK, here are all the photos you took today.","ow kay , here are all the photos you took today ."
32,The hotline number is +7 000 67 89 97.,"The hotline number is plus seven , zero zero zero , six seven , eight nine , nine seven ."
33,Screen replacement cost is $25.,Screen replacement cost is twenty five dollars .
34,"Battery level is 12%. Please, activate power saving mode.","Battery level is twelve percent . Please , activate power saving mode ."
